"Motivacija dolazi iznutra, ništa vas ne može motivirati osim vaše volje." - Tony Robbins
"Ne čekajte priliku, stvorite je." - George Bernard Shaw
"Ne čekajte savršen trenutak, napravite trenutak savršenim." - Nepoznati autor
"Nema uspeha bez napornog rada, istrajnosti i motivacije." - Lou Holtz
"Ponekad je jedan mali korak u pravom smeru sve što je potrebno da pokrenete niz pozitivnih promena." - Nepoznati autor
"Vaša najveća slabost postaje vaša najveća snaga kad se motivirate i radite na njoj." - Zig Ziglar
"Ustani, borba je na tebe čekala." - Nepoznati autor
"Vaša vera u sebe i vašu sposobnost ostvarenja ciljeva je ključna motivacija koja vas pokreće ka uspehu." - Nepoznati autor
"Ne dozvolite da vas strah parališe. Budite hrabri i motivirani da se suočite sa svojim izazovima." - Nepoznati autor
"Svakog dana imate novu priliku da se probudite i bude bolja verzija sebe. Iskoristite to." - Nepoznati autor
"Ako neko može, i vi možete." - Nepoznati autor
"Najbolji način da predvidite svoju budućnost je da je stvorite." - Peter Drucker
"Vaša motivacija je ključna stvar koja vas vodi ka vašim ciljevima i ostvarenju vaših snova." - Nepoznati autor
"Svaki dan je nova prilika da se postignu velike stvari." - Nepoznati autor
"Ne možete čekati da se inspiracija pojavi, morate je tražiti sa namerom." - Nepoznati autor
